Welcome	UH
,	,
Ion	NN
.	.

Are	VBP
you	PRP
from	IN
your	PRP$
native	JJ
city	NN
of	IN
Ephesus	NNP
?	.

And	CC
do	VBP
the	DT
Epidaurians	NNPS
have	VBP
contests	NNS
of	IN
rhapsodes	NNS
at	IN
the	DT
festival	NN
?	.

And	CC
were	VBD
you	PRP
one	CD
of	IN
the	DT
competitors	NNS
--	:
and	CC
did	VBD
you	PRP
succeed	VB
?	.

Well	RB
done	VBN
;	:
and	CC
I	PRP
hope	VBP
that	IN
you	PRP
will	MD
do	VB
the	DT
same	JJ
for	IN
us	PRP
at	IN
the	DT
Panathenaea	NNP
.	.

I	PRP
often	RB
envy	VBP
the	DT
profession	NN
of	IN
a	DT
rhapsode	NN
,	,
Ion	NN
;	:
for	IN
you	PRP
have	VBP
always	RB
to	TO
wear	VB
fine	JJ
clothes	NNS
,	,
and	CC
to	TO
look	VB
as	RB
beautiful	JJ
as	IN
you	PRP
can	MD
is	VBZ
a	DT
part	NN
of	IN
your	PRP$
art	NN
.	.

Then	RB
,	,
again	RB
,	,
you	PRP
are	VBP
obliged	VBN
to	TO
be	VB
continually	RB
in	IN
the	DT
company	NN
of	IN
many	JJ
good	JJ
poets	NNS
;	:
and	CC
especially	RB
of	IN
Homer	NNP
,	,
who	WP
is	VBZ
the	DT
best	JJS
and	CC
most	RBS
divine	JJ
of	IN
them	PRP
;	:
and	CC
to	TO
understand	VB
him	PRP
,	,
and	CC
not	RB
merely	RB
learn	VB
his	PRP$
words	NNS
by	IN
rote	NN
,	,
is	VBZ
a	DT
thing	NN
greatly	RB
to	TO
be	VB
envied	VBN
.	.

And	CC
no	DT
man	NN
can	MD
be	VB
a	DT
rhapsode	NN
who	WP
does	VBZ
not	RB
understand	VB
the	DT
meaning	NN
of	IN
the	DT
poet	NN
.	.

For	IN
the	DT
rhapsode	NN
ought	MD
to	TO
interpret	VB
the	DT
mind	NN
of	IN
the	DT
poet	NN
to	TO
his	PRP$
hearers	NNS
,	,
but	CC
how	WRB
can	MD
he	PRP
interpret	VB
him	PRP
well	RB
unless	IN
he	PRP
knows	VBZ
what	WP
he	PRP
means	VBZ
?	.

All	PDT
this	DT
is	VBZ
greatly	RB
to	TO
be	VB
envied	VBN
.	.

I	PRP
am	VBP
glad	JJ
to	TO
hear	VB
you	PRP
say	VBP
so	RB
,	,
Ion	NN
;	:
I	PRP
see	VBP
that	IN
you	PRP
will	MD
not	RB
refuse	VB
to	TO
acquaint	VB
me	PRP
with	IN
them	PRP
.	.

I	PRP
shall	MD
take	VB
an	DT
opportunity	NN
of	IN
hearing	VBG
your	PRP$
embellishments	NNS
of	IN
him	PRP
at	IN
some	DT
other	JJ
time	NN
.	.

But	CC
just	RB
now	RB
I	PRP
should	MD
like	VB
to	TO
ask	VB
you	PRP
a	DT
question	NN
:	:
Does	VBZ
your	PRP$
art	NN
extend	VB
to	TO
Hesiod	NNP
and	CC
Archilochus	NNP
,	,
or	CC
to	TO
Homer	NNP
only	RB
?	.

Are	VBP
there	EX
any	DT
things	NNS
about	IN
which	WDT
Homer	NNP
and	CC
Hesiod	NNP
agree	VB
?	.

And	CC
can	MD
you	PRP
interpret	VB
better	RBR
what	WP
Homer	NNP
says	VBZ
,	,
or	CC
what	WP
Hesiod	NNP
says	VBZ
,	,
about	IN
these	DT
matters	NNS
in	IN
which	WDT
they	PRP
agree	VBP
?	.

But	CC
what	WP
about	IN
matters	NNS
in	IN
which	WDT
they	PRP
do	VBP
not	RB
agree	VB
?	.

--	:
for	IN
example	NN
,	,
about	IN
divination	NN
,	,
of	IN
which	WDT
both	DT
Homer	NNP
and	CC
Hesiod	NNP
have	VBP
something	NN
to	TO
say	VB
,	,
--	:
Would	MD
you	PRP
or	CC
a	DT
good	JJ
prophet	NN
be	VB
a	DT
better	JJR
interpreter	NN
of	IN
what	WP
these	DT
two	CD
poets	NNS
say	VBP
about	IN
divination	NN
,	,
not	RB
only	RB
when	WRB
they	PRP
agree	VBP
,	,
but	CC
when	WRB
they	PRP
disagree	VBP
?	.

And	CC
if	IN
you	PRP
were	VBD
a	DT
prophet	NN
,	,
would	MD
you	PRP
not	RB
be	VB
able	JJ
to	TO
interpret	VB
them	PRP
when	WRB
they	PRP
disagree	VBP
as	RB
well	RB
as	IN
when	WRB
they	PRP
agree	VBP
?	.

But	CC
how	WRB
did	VBD
you	PRP
come	VB
to	TO
have	VB
this	DT
skill	NN
about	IN
Homer	NNP
only	RB
,	,
and	CC
not	RB
about	IN
Hesiod	NNP
or	CC
the	DT
other	JJ
poets	NNS
?	.

Does	VBZ
not	RB
Homer	NNP
speak	VB
of	IN
the	DT
same	JJ
themes	NNS
which	WDT
all	DT
other	JJ
poets	NNS
handle	VB
?	.

Is	VBZ
not	RB
war	NN
his	PRP$
great	JJ
argument	NN
?	.

and	CC
does	VBZ
he	PRP
not	RB
speak	VB
of	IN
human	JJ
society	NN
and	CC
of	IN
intercourse	NN
of	IN
men	NNS
,	,
good	JJ
and	CC
bad	JJ
,	,
skilled	JJ
and	CC
unskilled	JJ
,	,
and	CC
of	IN
the	DT
gods	NNS
conversing	VBG
with	IN
one	CD
another	DT
and	CC
with	IN
mankind	NN
,	,
and	CC
about	IN
what	WP
happens	VBZ
in	IN
heaven	NN
and	CC
in	IN
the	DT
world	NN
below	IN
,	,
and	CC
the	DT
generations	NNS
of	IN
gods	NNS
and	CC
heroes	NNS
?	.

Are	VBP
not	RB
these	DT
the	DT
themes	NNS
of	IN
which	WDT
Homer	NNP
sings	VBZ
?	.

And	CC
do	VBP
not	RB
the	DT
other	JJ
poets	NNS
sing	VBP
of	IN
the	DT
same	JJ
?	.

What	WP
,	,
in	IN
a	DT
worse	JJ
way	NN
?	.

And	CC
Homer	NNP
in	IN
a	DT
better	JJR
way	NN
?	.

And	CC
yet	RB
surely	RB
,	,
my	PRP$
dear	RB
friend	NN
Ion	NN
,	,
in	IN
a	DT
discussion	NN
about	IN
arithmetic	NN
,	,
where	WRB
many	JJ
people	NNS
are	VBP
speaking	VBG
,	,
and	CC
one	CD
speaks	VBZ
better	JJR
than	IN
the	DT
rest	NN
,	,
there	EX
is	VBZ
somebody	NN
who	WP
can	MD
judge	VB
which	WDT
of	IN
them	PRP
is	VBZ
the	DT
good	JJ
speaker	NN
?	.

And	CC
he	PRP
who	WP
judges	NNS
of	IN
the	DT
good	NN
will	MD
be	VB
the	DT
same	JJ
as	IN
he	PRP
who	WP
judges	NNS
of	IN
the	DT
bad	JJ
speakers	NNS
?	.

And	CC
he	PRP
will	MD
be	VB
the	DT
arithmetician	NN
?	.

Well	RB
,	,
and	CC
in	IN
discussions	NNS
about	IN
the	DT
wholesomeness	NN
of	IN
food	NN
,	,
when	WRB
many	JJ
persons	NNS
are	VBP
speaking	VBG
,	,
and	CC
one	CD
speaks	VBZ
better	JJR
than	IN
the	DT
rest	NN
,	,
will	MD
he	PRP
who	WP
recognizes	VBZ
the	DT
better	JJR
speaker	NN
be	VB
a	DT
different	JJ
person	NN
from	IN
him	PRP
who	WP
recognizes	VBZ
the	DT
worse	JJR
,	,
or	CC
the	DT
same	JJ
?	.

And	CC
who	WP
is	VBZ
he	PRP
,	,
and	CC
what	WP
is	VBZ
his	PRP$
name	NN
?	.

And	CC
speaking	VBG
generally	RB
,	,
in	IN
all	DT
discussions	NNS
in	IN
which	WDT
the	DT
subject	NN
is	VBZ
the	DT
same	JJ
and	CC
many	JJ
men	NNS
are	VBP
speaking	VBG
,	,
will	MD
not	RB
he	PRP
who	WP
knows	VBZ
the	DT
good	JJ
know	VBP
the	DT
bad	JJ
speaker	NN
also	RB
?	.

For	IN
if	IN
he	PRP
does	VBZ
not	RB
know	VB
the	DT
bad	JJ
,	,
neither	CC
will	MD
